DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
b_quark 0 4.18 124.605 -52 -94 63 b_quark 0 4.18 165.576 94 111 -79
b_quark 0 4.18 161.887 137 14 85 b_quark 0 4.18 92.674 -65 11 -65
b_quark 0 4.18 196.798 142 118 68 b_quark 0 4.18 181.514 -133 -120 -29
Z 1 91.2 158.913 66 112 6 Z 1 91.2 242.764 -46 -201 -90
b_quark 0 4.18 172.978 -148 -16 88 b_quark 0 4.18 253.587 245 58 -30
W+ 1 80.4 197.287 16 -141 -111 W- 1 80.4 295.348 22 241 149
W+ 1 80.4 182.741 -35 91 -132 W- 1 80.4 253.37 80 -34 224
b_quark 0 4.18 109.204 -18 -80 -72 b_quark 0 4.18 94.1673 79 -20 47
b_quark 0 4.18 94.48 -35 78 40 b_quark 0 4.18 171.521 65 -124 -99
W+ 1 80.4 117.988 -14 69 50 W- 1 80.4 87.1961 -33 -5 5
b_quark 0 4.18 253.575 -141 -149 149 b_quark 0 4.18 203.326 74 98 -162
W+ 1 80.4 147.344 -78 81 -51 W- 1 80.4 127.241 85 -49 10
b_quark 0 4.18 121.879 76 50 81 b_quark 0 4.18 216.503 -134 -102 -136
tau+ 0 1.78 80.9331 -27 -43 -63 tau- 0 1.78 162.263 1 -9 162
b_quark 0 4.18 137.432 137 10 1 b_quark 0 4.18 124.268 -90 -43 74
Z 1 91.2 151.811 65 -30 -98 Z 1 91.2 154.066 -117 37 19
b_quark 0 4.18 143.939 84 -62 99 b_quark 0 4.18 161.628 -41 136 -77
W+ 1 80.4 158.903 -4 -1 -137 W- 1 80.4 143.231 41 7 111
b_quark 0 4.18 85.1556 12 -23 81 b_quark 0 4.18 100.222 -91 -39 -15
b_quark 0 4.18 79.0346 -8 -57 -54 b_quark 0 4.18 145.981 99 104 26
W+ 1 80.4 130.878 -28 91 -40 W- 1 80.4 116.898 69 -46 -18
b_quark 0 4.18 98.5265 -65 -37 64 b_quark 0 4.18 170.21 48 105 -125
tau+ 0 1.78 126.052 114 -51 17 tau- 0 1.78 132.801 -53 82 -90
b_quark 0 4.18 45.5464 4 21 -40 b_quark 0 4.18 99.4911 -71 -22 66
b_quark 0 4.18 175.481 50 -150 -76 b_quark 0 4.18 188.792 -34 62 175
b_quark 0 4.18 145.642 -123 76 17 b_quark 0 4.18 169.878 159 14 58
b_quark 0 4.18 160.908 85 93 100 b_quark 0 4.18 180.074 -22 -55 -170
b_quark 0 4.18 128.435 37 122 15 b_quark 0 4.18 219.642 -5 -218 -26
b_quark 0 4.18 166.921 -18 136 -95 b_quark 0 4.18 191.863 -79 -148 93
b_quark 0 4.18 57.9868 4 52 -25 b_quark 0 4.18 113.152 -11 -76 83
tau+ 0 1.78 141.291 130 42 -36 tau- 0 1.78 152.135 -106 5 109
Z 1 91.2 131.387 -13 -90 -26 Z 1 91.2 168.355 72 99 -71
b_quark 0 4.18 160.245 -109 114 -28 b_quark 0 4.18 86.4666 27 -59 -57
b_quark 0 4.18 84.4954 68 -47 -17 b_quark 0 4.18 89.5962 -71 37 -40
b_quark 0 4.18 122.88 21 0 -121 b_quark 0 4.18 207.727 -40 18 203
b_quark 0 4.18 141.639 -18 -138 26 b_quark 0 4.18 115.224 33 79 -77
b_quark 0 4.18 143.828 -51 92 -98 b_quark 0 4.18 139.583 52 -129 11
b_quark 0 4.18 133.4 55 112 -47 b_quark 0 4.18 129.072 -3 -72 107
b_quark 0 4.18 137.922 40 -59 118 b_quark 0 4.18 172.356 -51 148 -72
b_quark 0 4.18 131.968 45 -93 82 b_quark 0 4.18 132.32 -9 117 -61
tau+ 0 1.78 120.321 43 95 -60 tau- 0 1.78 127.233 -26 -122 25
b_quark 0 4.18 135.597 -37 -70 -110 b_quark 0 4.18 156.398 -15 107 113
b_quark 0 4.18 203.065 -132 -113 105 b_quark 0 4.18 294.914 53 212 -198
W+ 1 80.4 181.585 108 -34 117 W- 1 80.4 278.679 -198 -37 -175
b_quark 0 4.18 84.9145 10 -73 42 b_quark 0 4.18 74.2864 -5 70 -24
W+ 1 80.4 124.045 -15 93 7 W- 1 80.4 212.467 -69 -154 -101
tau+ 0 1.78 144.79 64 64 113 tau- 0 1.78 165.862 -125 1 -109
b_quark 0 4.18 215.468 106 138 127 b_quark 0 4.18 238.526 -163 -118 -128
b_quark 0 4.18 166.444 94 115 75 b_quark 0 4.18 180.071 -6 -164 -74
b_quark 0 4.18 168.85 118 -45 112 b_quark 0 4.18 283.842 -207 8 -194
W+ 1 80.4 214.684 0 149 -132 W- 1 80.4 189.201 8 -55 162
W+ 1 80.4 165.982 34 -7 -141 W- 1 80.4 153.731 23 64 112
tau+ 0 1.78 123.52 67 102 -19 tau- 0 1.78 202.606 -151 -97 94
b_quark 0 4.18 149.119 -135 63 5 b_quark 0 4.18 264.587 231 -118 -52
b_quark 0 4.18 190.627 -106 133 -86 b_quark 0 4.18 163.032 88 -97 97
tau+ 0 1.78 110.014 -92 6 -60 tau- 0 1.78 160.313 159 -20 -4
tau+ 0 1.78 172.801 9 -120 -124 tau- 0 1.78 124.275 -71 44 92
b_quark 0 4.18 46.4594 30 35 -4 b_quark 0 4.18 68.662 -18 23 -62
b_quark 0 4.18 96.6409 49 -75 -36 b_quark 0 4.18 69.1048 -43 -10 -53
tau+ 0 1.78 181.376 -30 -115 137 tau- 0 1.78 285.109 -34 192 -208
b_quark 0 4.18 93.9227 -44 -82 -12 b_quark 0 4.18 100.451 94 9 -34
b_quark 0 4.18 186.168 -20 140 -121 b_quark 0 4.18 148.093 -48 -97 101
b_quark 0 4.18 103.569 -60 -47 70 b_quark 0 4.18 176.656 -30 49 -167
W+ 1 80.4 112.152 67 -20 35 W- 1 80.4 148.503 33 24 -118
b_quark 0 4.18 124.042 70 -38 -95 b_quark 0 4.18 134.426 15 128 38
b_quark 0 4.18 156.434 125 90 27 b_quark 0 4.18 132.44 -41 -119 41
b_quark 0 4.18 224.249 -95 -138 -149 b_quark 0 4.18 149.755 6 98 113
b_quark 0 4.18 140.123 62 -118 43 b_quark 0 4.18 155.838 6 106 -114
b_quark 0 4.18 209.46 144 -88 -124 b_quark 0 4.18 239.03 -189 -9 146
tau+ 0 1.78 106.453 27 -14 102 tau- 0 1.78 79.0327 55 37 -43
Z 1 91.2 123.848 64 3 54 Z 1 91.2 218.795 -131 28 -147
W+ 1 80.4 163.57 -23 -139 -21 W- 1 80.4 100.41 -8 55 23
b_quark 0 4.18 86.403 -6 -86 4 b_quark 0 4.18 120.547 77 -11 92
W+ 1 80.4 200.672 -120 98 99 W- 1 80.4 236.254 114 -184 -50
Z 1 91.2 146.347 10 106 -42 Z 1 91.2 95.3018 -5 -16 22
b_quark 0 4.18 94.9867 -11 90 -28 b_quark 0 4.18 89.2159 57 -57 38
W+ 1 80.4 153.007 67 103 43 W- 1 80.4 95.8184 4 -51 10
Z 1 91.2 126.137 -64 -4 -59 Z 1 91.2 188.625 161 -30 21
W+ 1 80.4 172.39 -86 123 27 W- 1 80.4 185.268 36 -158 40
b_quark 0 4.18 191.135 -141 97 85 b_quark 0 4.18 240.186 184 -154 -10
b_quark 0 4.18 145.803 26 -87 -114 b_quark 0 4.18 187.186 -86 141 88
W+ 1 80.4 133.155 -49 -48 81 W- 1 80.4 169.488 139 50 -21
b_quark 0 4.18 182.525 -104 51 141 b_quark 0 4.18 131.994 4 -125 -42
b_quark 0 4.18 225.217 146 83 150 b_quark 0 4.18 163.901 -49 -27 -154
W+ 1 80.4 148.749 -6 -49 115 W- 1 80.4 174.336 60 27 -140
b_quark 0 4.18 238.051 -149 -139 -123 b_quark 0 4.18 234.807 150 144 109
b_quark 0 4.18 182.531 -116 88 110 b_quark 0 4.18 301.991 216 -163 -134
b_quark 0 4.18 131.208 -34 -61 111 b_quark 0 4.18 233.149 -14 161 -168
b_quark 0 4.18 156.251 -120 -86 -51 b_quark 0 4.18 113.69 86 74 6
b_quark 0 4.18 114.331 -61 -57 78 b_quark 0 4.18 33.2937 17 21 19
b_quark 0 4.18 102.837 87 42 -35 b_quark 0 4.18 107.831 -92 55 11
b_quark 0 4.18 205.773 140 -150 15 b_quark 0 4.18 165.902 -124 93 59
b_quark 0 4.18 145.129 -25 16 -142 b_quark 0 4.18 154.927 41 52 140
b_quark 0 4.18 178.187 -68 78 145 b_quark 0 4.18 237.423 -20 -76 -224
b_quark 0 4.18 173.053 35 111 -128 b_quark 0 4.18 120.443 -57 -86 62
b_quark 0 4.18 161.85 -116 -109 29 b_quark 0 4.18 69.674 54 25 -36
b_quark 0 4.18 129.782 1 -21 128 b_quark 0 4.18 186.222 -14 -56 -177
b_quark 0 4.18 75.5743 13 -70 25 b_quark 0 4.18 146.33 73 105 71
W+ 1 80.4 194.456 -87 -86 128 W- 1 80.4 256.969 72 153 -176
W+ 1 80.4 170.848 -55 118 -76 W- 1 80.4 211.59 -36 -133 139
b_quark 0 4.18 155.713 111 -48 98 b_quark 0 4.18 148.073 -108 50 -88
b_quark 0 4.18 116.788 1 -114 25 b_quark 0 4.18 201.83 63 157 -110
W+ 1 80.4 157.826 -45 6 -128 W- 1 80.4 251.905 108 92 192
b_quark 0 4.18 143.956 -19 -136 43 b_quark 0 4.18 57.6842 -33 45 14
W+ 1 80.4 219.548 111 -146 90 W- 1 80.4 123.754 -65 51 -45
b_quark 0 4.18 190.624 20 132 136 b_quark 0 4.18 145.005 -44 -92 -103
W+ 1 80.4 197.282 24 134 -118 W- 1 80.4 213.235 14 -195 28
b_quark 0 4.18 208.858 -52 144 -142 b_quark 0 4.18 224.541 144 -96 143
b_quark 0 4.18 103.031 -17 -47 90 b_quark 0 4.18 90.6723 -82 -6 -38
b_quark 0 4.18 98.135 75 62 12 b_quark 0 4.18 116.389 -8 -116 -3
W+ 1 80.4 115.144 63 -35 -40 W- 1 80.4 152.201 -14 68 109
b_quark 0 4.18 152.497 95 113 38 b_quark 0 4.18 78.7558 -3 -76 20
b_quark 0 4.18 129.451 -88 70 64 b_quark 0 4.18 141.833 131 -47 27
b_quark 0 4.18 135.556 -57 -15 -122 b_quark 0 4.18 154.979 -4 57 144
W+ 1 80.4 141.457 -109 -39 -12 W- 1 80.4 142.724 71 87 36
b_quark 0 4.18 206.198 132 140 74 b_quark 0 4.18 286.095 -210 -193 -22
b_quark 0 4.18 135.682 102 68 58 b_quark 0 4.18 164.403 -117 -71 -91
tau+ 0 1.78 112.726 -48 -44 -92 tau- 0 1.78 140.058 36 -34 131
b_quark 0 4.18 124.32 -89 11 86 b_quark 0 4.18 175.566 153 -79 -34
Z 1 91.2 142.504 7 -95 -54 Z 1 91.2 243.318 -70 181 115
b_quark 0 4.18 242.117 135 -137 147 b_quark 0 4.18 137.893 -94 60 -81
b_quark 0 4.18 137.122 -55 48 116 b_quark 0 4.18 126.362 -5 7 -126
b_quark 0 4.18 150.637 35 140 43 b_quark 0 4.18 144.815 -105 -85 -52
b_quark 0 4.18 183.759 -130 -103 -79 b_quark 0 4.18 211.24 114 172 45
W+ 1 80.4 179.118 -37 115 -105 W- 1 80.4 208.464 98 -85 142
b_quark 0 4.18 150.531 -84 81 -95 b_quark 0 4.18 199.016 9 -103 170
b_quark 0 4.18 169.436 51 107 -121 b_quark 0 4.18 148.669 33 -64 130
b_quark 0 4.18 204.298 148 130 -54 b_quark 0 4.18 151.629 -89 -122 -13
b_quark 0 4.18 143.312 66 -6 127 b_quark 0 4.18 115.306 -101 -31 -46
b_quark 0 4.18 150.992 4 -126 83 b_quark 0 4.18 176.721 -99 54 -136
W+ 1 80.4 202.608 -1 131 132 W- 1 80.4 280.58 -20 -185 -194
b_quark 0 4.18 139.934 -122 -66 -18 b_quark 0 4.18 76.2527 60 -9 -46
b_quark 0 4.18 201.155 -26 143 139 b_quark 0 4.18 166.588 22 -103 -129
b_quark 0 4.18 174.366 96 -133 -59 b_quark 0 4.18 190.836 -168 71 56
b_quark 0 4.18 116.993 66 17 95 b_quark 0 4.18 133.43 -16 49 -123
W+ 1 80.4 212.552 116 -87 133 W- 1 80.4 261.421 -113 178 -132
b_quark 0 4.18 145.765 85 118 9 b_quark 0 4.18 197.25 -57 -179 -60
b_quark 0 4.18 200.75 145 -103 93 b_quark 0 4.18 181.181 -138 38 -111
W+ 1 80.4 191.44 115 88 -96 W- 1 80.4 194.929 -128 -118 35
b_quark 0 4.18 157.221 -142 44 51 b_quark 0 4.18 220.169 170 -129 -54
W+ 1 80.4 167.834 88 66 -98 W- 1 80.4 255.494 -144 -94 171
b_quark 0 4.18 209.732 -133 80 141 b_quark 0 4.18 190.556 163 -85 -50
b_quark 0 4.18 157.03 71 0 140 b_quark 0 4.18 169.43 -97 -28 -136
W+ 1 80.4 179.884 -87 -135 -10 W- 1 80.4 255.652 63 234 -13
tau+ 0 1.78 130.661 -32 93 -86 tau- 0 1.78 194.682 41 -109 156
b_quark 0 4.18 163.828 135 26 89 b_quark 0 4.18 106.125 -90 -52 -21
W+ 1 80.4 206.693 -124 61 131 W- 1 80.4 245.917 207 -101 -31
b_quark 0 4.18 129.721 -49 -120 -3 b_quark 0 4.18 96.5219 51 37 -73
b_quark 0 4.18 54.9497 -52 -17 3 b_quark 0 4.18 106.073 51 -52 77
b_quark 0 4.18 112.341 109 19 -19 b_quark 0 4.18 106.637 -53 -9 92
W+ 1 80.4 169.074 107 -8 -103 W- 1 80.4 156.835 -78 32 105
b_quark 0 4.18 148.571 -94 -74 -88 b_quark 0 4.18 179.509 97 141 54
W+ 1 80.4 171.774 -79 120 -49 W- 1 80.4 238.617 148 -137 99
b_quark 0 4.18 236.817 150 133 -126 b_quark 0 4.18 344.288 -180 -209 206
b_quark 0 4.18 85.1262 67 -52 -6 b_quark 0 4.18 112.27 -77 27 -77
tau+ 0 1.78 189.871 112 -148 40 tau- 0 1.78 201.475 -186 77 -8
b_quark 0 4.18 70.4164 54 -27 36 b_quark 0 4.18 73.8815 28 -39 -56
b_quark 0 4.18 136.057 57 -58 -109 b_quark 0 4.18 86.7437 -19 75 39
b_quark 0 4.18 59.6529 39 -38 24 b_quark 0 4.18 88.7945 15 71 51
b_quark 0 4.18 110.179 -28 27 -103 b_quark 0 4.18 110.56 10 -15 109
b_quark 0 4.18 155.912 47 -101 109 b_quark 0 4.18 257.223 29 189 -172
b_quark 0 4.18 127.775 17 -126 12 b_quark 0 4.18 194.12 -60 183 -24
b_quark 0 4.18 167.139 134 79 -61 b_quark 0 4.18 173.688 -93 -126 75
b_quark 0 4.18 102.071 85 26 50 b_quark 0 4.18 113.677 -45 -88 -56
b_quark 0 4.18 72.7013 20 -62 32 b_quark 0 4.18 137.399 -46 92 -91
b_quark 0 4.18 89.1935 60 -33 57 b_quark 0 4.18 85.9562 33 39 -69
b_quark 0 4.18 138.645 -116 -50 57 b_quark 0 4.18 158.687 38 94 -122
b_quark 0 4.18 185.153 -114 -62 -132 b_quark 0 4.18 210.484 130 119 115
b_quark 0 4.18 180.329 -54 127 116 b_quark 0 4.18 256.748 119 -150 -171
W+ 1 80.4 128.896 -33 81 -50 W- 1 80.4 103.625 -59 8 -27
b_quark 0 4.18 107.268 44 -97 -12 b_quark 0 4.18 154.779 37 147 -31
tau+ 0 1.78 89.4213 -54 -6 -71 tau- 0 1.78 223.41 132 -79 162
b_quark 0 4.18 176.789 78 -148 -57 b_quark 0 4.18 181.388 -102 148 24
b_quark 0 4.18 115.462 -59 37 92 b_quark 0 4.18 195.457 121 -109 -108
b_quark 0 4.18 134.114 -128 -17 -36 b_quark 0 4.18 105.638 83 38 -53
b_quark 0 4.18 139.784 -17 -108 87 b_quark 0 4.18 170.254 68 96 -123
W+ 1 80.4 245.752 128 -139 -135 W- 1 80.4 242.504 -150 162 60
b_quark 0 4.18 117.964 71 -24 91 b_quark 0 4.18 95.7417 -19 18 -92
b_quark 0 4.18 128.353 22 -33 -122 b_quark 0 4.18 215.303 -13 -35 212
b_quark 0 4.18 171.751 88 -91 -116 b_quark 0 4.18 177.478 -60 91 140
b_quark 0 4.18 161.689 150 49 35 b_quark 0 4.18 128.913 -78 -41 -94
b_quark 0 4.18 142.921 122 -71 22 b_quark 0 4.18 136.215 -110 74 31
b_quark 0 4.18 160.133 -135 2 -86 b_quark 0 4.18 262.142 210 24 155
b_quark 0 4.18 76.3641 27 -69 18 b_quark 0 4.18 79.4385 -1 66 44
b_quark 0 4.18 113.029 -91 -66 -11 b_quark 0 4.18 57.3016 57 -1 -4
b_quark 0 4.18 128.446 -124 32 -9 b_quark 0 4.18 199.774 174 -96 -20
b_quark 0 4.18 95.0078 -36 -12 -87 b_quark 0 4.18 197.908 95 -14 173
Z 1 91.2 191.641 102 -134 7 Z 1 91.2 218.04 -82 150 -100
b_quark 0 4.18 118.497 98 -8 -66 b_quark 0 4.18 150.66 -71 -42 126
b_quark 0 4.18 104.721 -84 62 7 b_quark 0 4.18 51.5313 45 18 17
b_quark 0 4.18 204.271 -22 139 -148 b_quark 0 4.18 137.864 64 -67 102
b_quark 0 4.18 168.034 59 -79 -136 b_quark 0 4.18 249.527 -54 163 181
b_quark 0 4.18 163.892 69 89 -119 b_quark 0 4.18 233.456 -94 -168 132
b_quark 0 4.18 126.089 82 -79 54 b_quark 0 4.18 158.655 5 123 -100
b_quark 0 4.18 190.08 -38 138 -125 b_quark 0 4.18 139.844 -23 -79 113
b_quark 0 4.18 152.209 -17 -19 -150 b_quark 0 4.18 192.597 -60 -50 176
b_quark 0 4.18 99.0731 77 -50 37 b_quark 0 4.18 95.611 -32 54 -72
b_quark 0 4.18 188.408 118 60 -134 b_quark 0 4.18 243.398 -202 -39 130
b_quark 0 4.18 69.1916 -68 -5 11 b_quark 0 4.18 152.376 117 -94 26
b_quark 0 4.18 167.936 55 -118 106 b_quark 0 4.18 183.667 42 136 -116
b_quark 0 4.18 186.45 101 76 -137 b_quark 0 4.18 214.827 -140 -127 102
b_quark 0 4.18 213.158 147 71 -137 b_quark 0 4.18 326.111 -241 -45 215
W+ 1 80.4 175.4 126 12 -91 W- 1 80.4 180.112 -126 -86 52
b_quark 0 4.18 146.299 17 51 136 b_quark 0 4.18 109.016 -29 35 -99
b_quark 0 4.18 211.03 112 -144 -106 b_quark 0 4.18 144.432 -81 49 109
b_quark 0 4.18 165.383 71 138 57 b_quark 0 4.18 202.454 -67 -191 0
tau+ 0 1.78 203.178 147 30 137 tau- 0 1.78 134.897 -117 4 -67
b_quark 0 4.18 137.741 17 129 45 b_quark 0 4.18 225.997 83 -202 -58
b_quark 0 4.18 175.147 -37 -97 -141 b_quark 0 4.18 233.083 81 70 207
b_quark 0 4.18 116.702 64 35 91 b_quark 0 4.18 138.779 -80 31 -109
b_quark 0 4.18 196.717 -36 150 -122 b_quark 0 4.18 219.796 15 -152 158
W+ 1 80.4 192.131 -80 131 -83 W- 1 80.4 132.432 93 -43 24
b_quark 0 4.18 190.65 -92 121 -115 b_quark 0 4.18 241.368 94 -171 142
b_quark 0 4.18 194.079 -147 46 -118 b_quark 0 4.18 210.101 195 -76 18
b_quark 0 4.18 171.486 83 150 1 b_quark 0 4.18 131.379 -91 -81 49
W+ 1 80.4 231.444 149 -95 -126 W- 1 80.4 320.533 -174 124 225
W+ 1 80.4 219.559 -109 -145 94 W- 1 80.4 259.665 179 45 -164
tau+ 0 1.78 138.315 68 70 98 tau- 0 1.78 140.88 -108 -52 -74
W+ 1 80.4 117.869 18 -63 -56 W- 1 80.4 152.804 9 102 80
W+ 1 80.4 169.747 -37 -55 134 W- 1 80.4 143.409 -14 45 -109
tau+ 0 1.78 152.644 149 30 -14 tau- 0 1.78 210.754 -167 -118 -51
b_quark 0 4.18 122.276 -22 -113 -41 b_quark 0 4.18 180.182 -56 136 104
W+ 1 80.4 194.757 37 116 -129 W- 1 80.4 215.53 -120 -25 158
W+ 1 80.4 195.149 129 -47 -113 W- 1 80.4 243.518 -94 60 201
b_quark 0 4.18 173.685 73 54 148 b_quark 0 4.18 174.721 -74 -97 -125
b_quark 0 4.18 150.594 -134 9 68 b_quark 0 4.18 118.146 81 -78 -36
b_quark 0 4.18 133.291 118 39 -48 b_quark 0 4.18 181.01 -177 -37 -7
W+ 1 80.4 142.134 -108 7 -45 W- 1 80.4 115.344 10 46 68
b_quark 0 4.18 189.03 137 -89 -95 b_quark 0 4.18 289.405 -231 59 164
W+ 1 80.4 212.784 45 -122 148 W- 1 80.4 182.478 28 57 -151
b_quark 0 4.18 198.994 -29 -146 132 b_quark 0 4.18 292.921 -67 236 -160
b_quark 0 4.18 138.591 90 41 97 b_quark 0 4.18 178.996 -22 -137 -113
tau+ 0 1.78 91.8595 53 51 55 tau- 0 1.78 149.473 -15 -145 -33
W+ 1 80.4 183.897 -104 -103 77 W- 1 80.4 231.461 135 153 -74
b_quark 0 4.18 103.993 -26 -100 11 b_quark 0 4.18 193.356 -73 174 42
b_quark 0 4.18 175.643 130 -118 -3 b_quark 0 4.18 217.188 -98 170 -93
b_quark 0 4.18 56.555 -16 -51 18 b_quark 0 4.18 176.018 -73 120 -106
b_quark 0 4.18 121.357 42 25 111 b_quark 0 4.18 241.505 -85 -81 -211
W+ 1 80.4 211.405 144 -124 46 W- 1 80.4 314.29 -213 216 -17
b_quark 0 4.18 198.412 123 -139 -70 b_quark 0 4.18 223.342 -126 178 48
b_quark 0 4.18 116.295 111 -31 15 b_quark 0 4.18 148.608 -145 9 31
W+ 1 80.4 168.574 84 -121 16 W- 1 80.4 277.539 -168 198 56
W+ 1 80.4 164.384 -31 61 -126 W- 1 80.4 215.746 60 1 191
b_quark 0 4.18 167.793 122 -22 113 b_quark 0 4.18 203.547 -142 15 -145
b_quark 0 4.18 128.06 -14 45 -119 b_quark 0 4.18 56.4666 -37 11 41
b_quark 0 4.18 29.639 -19 -10 -20 b_quark 0 4.18 113.998 -13 53 100
b_quark 0 4.18 129.936 -19 -11 -128 b_quark 0 4.18 169.09 117 -31 118
b_quark 0 4.18 186.299 -111 60 137 b_quark 0 4.18 187.826 83 -124 -114
b_quark 0 4.18 92.9488 9 54 -75 b_quark 0 4.18 151.946 7 -125 86
b_quark 0 4.18 187.057 -123 -110 -88 b_quark 0 4.18 258.375 202 40 156
W+ 1 80.4 206.236 -94 73 148 W- 1 80.4 291.237 165 -91 -207
b_quark 0 4.18 196.274 -20 135 -141 b_quark 0 4.18 249.216 53 -191 151
b_quark 0 4.18 102.511 -67 -71 31 b_quark 0 4.18 44.4013 27 28 -21
b_quark 0 4.18 135.965 62 -15 -120 b_quark 0 4.18 186.171 -156 -45 91
tau+ 0 1.78 192.489 68 -104 -147 tau- 0 1.78 315.375 -83 187 240
